ars,parent_ars,type,gen,bez
059580008008,05958,gem,Bestwig,Gemeinde
059580004004,05958,gem,Arnsberg,Stadt
059580012012,05958,gem,Brilon,Stadt
059580016016,05958,gem,Eslohe (Sauerland),Gemeinde
059580020020,05958,gem,Hallenberg,Stadt
059580028028,05958,gem,Medebach,Stadt
059580024024,05958,gem,Marsberg,Stadt
059580032032,05958,gem,Meschede,Stadt
059580036036,05958,gem,Olsberg,Stadt
059580040040,05958,gem,Schmallenberg,Stadt
059580044044,05958,gem,Sundern (Sauerland),Stadt
059580048048,05958,gem,Winterberg,Stadt
